our_color,our_rating,opp_rating,rating_diff,time_class,eco,opening_family,move_count,outcome
white,598,758,-160,rapid,B01,Scandinavian,45,0.0
black,462,557,-95,rapid,A50,Indian,46,0.0
white,458,447,11,rapid,D02,Queens,125,0.5
black,367,392,-25,rapid,C20,Kings,58,0.0
white,293,307,-14,rapid,B02,Alekhines,87,0.0
black,248,368,-120,rapid,C40,Kings,45,0.0
white,237,163,74,rapid,D02,Queens,350,0.5
black,281,219,62,rapid,C20,Kings,136,1.0
black,248,335,-87,rapid,A00,Van,145,0.0
white,250,267,-17,rapid,B00,Owens,198,0.5
black,218,268,-50,rapid,A10,English,52,0.0
white,185,216,-31,rapid,B00,Nimzowitsch,130,0.0
black,207,100,107,rapid,C20,Kings,18,1.0
white,183,239,-56,rapid,C21,Center,136,0.0
white,207,171,36,rapid,B23,Closed,117,1.0
black,183,207,-24,rapid,C23,Bishops,20,0.0
white,158,142,16,rapid,C41,Philidor,64,0.0
black,179,158,21,rapid,C41,Philidor,30,1.0
white,163,250,-87,rapid,A40,Englund,106,0.0
black,149,257,-108,rapid,B01,Scandinavian,49,0.0
white,167,157,10,rapid,C40,Kings,92,1.0
black,186,206,-20,rapid,C24,Bishops,40,1.0
white,200,137,63,rapid,B07,Pirc,176,1.0
black,211,100,111,rapid,C24,Bishops,148,1.0
black,200,330,-130,rapid,C20,Kings,28,0.0
white,584,735,-151,bullet,C10,French,51,0.0
white,189,282,-93,rapid,B00,Kings,181,0.0
white,177,246,-69,rapid,B02,Alekhines,67,0.0
black,188,106,82,rapid,A45,Indian,59,1.0
white,205,276,-71,rapid,A40,Queens,19,1.0
white,221,302,-81,rapid,A43,Old,92,1.0
black,223,277,-54,rapid,C42,Petrovs,47,0.5
black,232,125,107,rapid,A00,Van,160,1.0
white,240,100,140,rapid,B07,Pirc,78,1.0
black,228,210,18,rapid,D00,Queens,126,0.0
black,239,213,26,rapid,D02,Queens,89,1.0
white,241,314,-73,rapid,B01,Scandinavian,163,0.5
black,233,332,-99,rapid,C10,French,101,0.0
white,225,323,-98,rapid,C45,Scotch,23,0.0
white,224,204,20,rapid,D00,Queens,153,0.5
white,222,148,74,rapid,A40,English,223,0.5
black,229,107,122,rapid,D00,Queens,48,1.0
white,231,311,-80,rapid,C00,French,9,0.5
black,237,114,123,rapid,A00,Mieses,27,1.0
white,227,223,4,rapid,D00,Queens,79,0.0
black,218,260,-42,rapid,D00,Queens,35,0.0
black,227,226,1,rapid,D00,Queens,122,1.0
black,221,340,-119,rapid,D00,Queens,37,0.0
white,213,353,-140,rapid,A40,Queens,39,0.0
white,222,246,-24,rapid,C21,Danish,19,1.0
black,232,286,-54,rapid,C20,Kings,148,1.0
white,223,319,-96,rapid,C00,French,83,0.0
white,232,244,-12,rapid,B01,Scandinavian,10,1.0
black,238,131,107,rapid,A00,Van,27,1.0
white,246,215,31,rapid,B21,Sicilian,20,1.0
black,246,242,4,rapid,A20,English,168,0.5
white,239,292,-53,rapid,A10,English,215,0.0
black,238,179,59,rapid,D00,Queens,244,0.0
black,231,277,-46,rapid,A04,Reti,15,0.0
white,237,137,100,rapid,C40,Kings,66,1.0
